"x","y","w"
-1.99,7.3868425118401,0
6.01,10.1448937132068,1
2.01,7.52807367939012,1
9.01,9.4376161550985,1
10.01,8.51912735487182,1
-7.99,7.2441131989411,0
-4.99,9.58877955009421,0
5.01,8.32775520089306,1
0.00999999999999801,7.91661789238482,1
15.01,7.83198240296684,1
6.01,8.74372303401887,1
2.01,8.77955745588373,1
12.01,7.31300706681311,1
6.01,8.7491807223225,1
1.01,9.44430516192198,1
1.01,9.03884005381381,1
3.01,7.73543335249969,1
-0.990000000000002,8.60520406873895,0
3.01,7.9171865802344,1
16.01,8.5361091473961,1
11.01,8.5762165318657,1
-8.99,7.13054681522131,0
10.01,9.21035238362279,1
8.01,9.39711861707975,1
6.01,9.1377352363439,1
6.01,8.91457775793674,1
-5.99,7.81323583778849,0
-0.990000000000002,8.65172408437384,0
11.01,6.72383244082121,1
-2.99,9.211599539829,0
-3.99,8.4143894088693,0
-1.99,8.69617584694468,0
17.01,8.96061155815381,1
16.01,9.21739938280598,1
2.01,8.67863153729377,1
-11.99,7.68652956792008,0
-5.99,8.47552916768418,0
15.01,8.91016456116957,1
15.01,6.59030104819669,1
-4.99,8.8290331250821,0
-4.99,8.72817994426073,0
2.01,7.41697962138115,1
-8.99,7.87835236882716,0
-3.99,6.90771530015565,0
16.01,7.73770347974166,1
12.01,9.08704215563169,1
18.01,9.2779541158203,1
7.01,7.41697962138115,1
16.01,8.13146012274994,1
9.01,8.25625428271672,1
-5.99,8.83017451882376,0
7.01,9.44787903349004,1
-6.99,7.43248380791712,0
-6.99,10.7790462923501,0
0.00999999999999801,9.35599102199172,1
12.01,9.00474692969739,1
16.01,8.90974322660094,1
18.01,4.90290153991049,1
12.01,8.47628788043698,1
7.01,7.80478982212599,1
-8.99,8.62407255304333,0
-6.99,7.17011954344963,0
4.01,9.06641914233159,1
0.00999999999999801,8.89288614119073,1
1.01,7.17808773172981,1
-0.990000000000002,9.00621483847481,0
11.01,8.98819632099506,1
15.01,7.97837951437207,1
-2.99,9.07139086803821,0
2.01,6.6288346799308,1
-1.99,9.10493981645427,0
-2.99,7.6008624807156,0
-8.99,8.81877816903701,0
4.01,8.95693347280109,1
-5.99,8.70483390968779,0
-6.99,8.52595469708481,0
-3.99,8.83858082465905,0
16.01,8.56150094735503,1
-5.99,8.55641390456952,0
17.01,8.55751334128353,1
15.01,8.92832224209613,1
18.01,7.33019552650085,1
16.01,9.42494191902962,1
17.01,8.920779191356,1
12.01,9.20482519128807,1
-2.99,8.71239144746114,0
-0.990000000000002,7.99201167659786,0
7.01,9.23388894244253,1
11.01,8.64716826783798,1
15.01,8.80327398250104,1
10.01,7.48871872399862,1
14.01,9.085452653329,1
0.00999999999999801,8.52595469708481,1
2.01,8.6645505362058,1
4.01,8.64259160081057,1
1.01,7.71754704358884,1
13.01,6.63089440974004,1
-2.99,7.21738476816024,0
13.01,9.40266833787762,1
17.01,8.88837601805274,1
17.01,8.15593633797239,1
-8.99,8.96187901267768,0
-0.990000000000002,8.73514571450177,0
-2.99,8.68092978258336,0
-3.99,6.89146330950174,0
