"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.0713224619058994,0.0713224619058994,0.0821575132448324,0.129688335100357,0.0782775701181543
0,0,1,1,0,0.07176667801351,0.07176667801351,0.0866552622200111,0.108125924807462,0.0853947513581121
1,1,1,1,1,0.058348093260104,0.058348093260104,0.070353060441944,0.10835508245523,0.0810630891919454
0,0,0,1,1,0.0651197172159472,0.0651197172159472,0.0757284541419534,0.134984697316658,0.0485337071558008
1,1,1,1,1,0.0629570811017543,0.0629570811017543,0.0767670070081881,0.142126236068637,0.0848881059744578
1,1,1,1,1,0.0681683902783211,0.0681683902783211,0.0829267693538024,0.109228608336394,0.0768590461909169
1,1,1,1,1,0.0725370796618305,0.0725370796618305,0.0871788737738803,0.122918535774083,0.0757782336435197
1,0,1,1,0,0.0696658641757196,0.0696658641757196,0.0786886984859607,0.0886720493724184,0.0812823882988705
1,1,1,1,1,0.0708108380187588,0.0708108380187588,0.086183988647703,0.149931454776562,0.0828316324657621
1,1,1,1,1,0.0675354352482089,0.0675354352482089,0.0823608537068228,0.152301558219966,0.0751556747732795
1,1,1,1,1,0.0770093411067951,0.0770093411067951,0.0924030947634521,0.0976865889441373,0.0468603079374152
1,1,1,1,1,0.0678145275507414,0.0678145275507414,0.0825108705840288,0.132409320568083,0.0780350325126478
1,1,1,0,0,0.0714642652666814,0.0714642652666814,0.0863540314730536,0.123180643442128,0.0844262886538406
1,1,1,1,1,0.0701511014031855,0.0701511014031855,0.0860260268955482,0.103176461493892,0.079736007770367
1,1,1,1,1,0.0657495309449137,0.0657495309449137,0.079189070614758,0.134595697195946,0.0752202025476759
1,1,1,1,1,0.0690382647138443,0.0690382647138443,0.0831786764011715,0.136131063422574,0.0848632002569823
1,1,1,1,1,0.0725082817839354,0.0725082817839354,0.0866049989865643,0.0953457586934219,0.0787979054040963
1,1,1,1,1,0.05977347731469,0.05977347731469,0.0726063927366276,0.104613907829587,0.0858598031194674
1,1,1,1,1,0.0679746377164119,0.0679746377164119,0.0821836210295349,0.112130410238681,0.0828825861836891
1,1,1,1,1,0.0649960270180274,0.0649960270180274,0.0752751404069991,0.115882657589932,0.0781752162584149
1,1,1,1,1,0.075040678745014,0.075040678745014,0.0884937160072882,0.111265385101759,0.0834712052755517
1,1,1,1,1,0.0598671611538167,0.0598671611538167,0.0720709402604508,0.0957632519739233,0.0823499445077488
1,1,1,1,1,0.061644660395582,0.061644660395582,0.0751509549496574,0.144451632394869,0.0485395952061187
1,1,1,1,1,0.0722172657470498,0.0722172657470498,0.0836178109812381,0.125591847969278,0.0819619253669939
1,1,1,1,1,0.0581519150046654,0.0581519150046654,0.0702858755054043,0.0997106975351721,0.0463804849293696
1,1,1,1,1,0.0710708892246899,0.0710708892246899,0.0873261030415178,0.108429395953616,0.0480772017043078
1,0,1,1,0,0.0728216186699578,0.0728216186699578,0.0853903382760813,0.105235539006074,0.0469419025095623
1,1,1,1,1,0.059494105237311,0.059494105237311,0.0720427960420541,0.0936068014101618,0.0845850623554252
1,1,1,1,1,0.0628872244254773,0.0628872244254773,0.0770082914421584,0.0931570519066787,0.0828929253903997
1,1,1,1,1,0.0647884385354888,0.0647884385354888,0.0798863282754045,0.128182721575962,0.0865134820002597
1,1,1,1,1,0.0661268551591774,0.0661268551591774,0.0812163491397243,0.114047710070466,0.0741144690842535
1,1,1,1,1,0.0630344574690777,0.0630344574690777,0.0769789581511923,0.147540937418107,0.0824299678573845
1,1,1,1,1,0.063750348337567,0.063750348337567,0.0778432327556066,0.101141882922702,0.083756060430399
1,1,1,1,1,0.0699169260089899,0.0699169260089899,0.0835284022945132,0.135685139014379,0.0472927843491999
1,1,1,1,1,0.0642185586142068,0.0642185586142068,0.07893360923719,0.0945188436646101,0.0862787483883983
1,1,1,1,1,0.0686672957383978,0.0686672957383978,0.0834811726073432,0.150247968397276,0.080501376222787
1,1,1,1,1,0.0711073179229299,0.0711073179229299,0.0874022839645195,0.0994063576138135,0.0854994102307127
1,1,1,1,1,0.0774741497269877,0.0774741497269877,0.088706770879194,0.12196975602686,0.0761480063440369
1,1,1,1,1,0.0653304544841018,0.0653304544841018,0.0795424657006844,0.114360101934993,0.0823845111120405
1,1,1,1,1,0.0699691768043273,0.0699691768043273,0.0854217923230372,0.0962793811165782,0.0480055946166895
1,1,1,1,1,0.0784356384738565,0.0784356384738565,0.0904069991350538,0.14804611765942,0.0770717747842844
1,1,1,1,1,0.0570315420674676,0.0570315420674676,0.0691504330385558,0.132864345358633,0.0813386601980839
1,1,1,1,1,0.0709901577780327,0.0709901577780327,0.0858519844197337,0.143562288979072,0.0870421833023218
0,0,0,0,1,0.0787605204534106,0.0787605204534106,0.088596977757051,0.106862266625965,0.084572569322219
1,1,1,1,1,0.0705151067983979,0.0705151067983979,0.0850704286562887,0.123736877281529,0.0482895253476198
1,1,1,1,1,0.0636866516450591,0.0636866516450591,0.0760603090507476,0.130562368021067,0.04884111229589
1,1,1,1,1,0.0695714355523044,0.0695714355523044,0.0842791807799418,0.0875315659250049,0.0811593997532896
1,1,1,1,1,0.0626024224674721,0.0626024224674721,0.0763152309625668,0.0948306392185038,0.0835928368946358
1,1,1,1,1,0.0725010951970808,0.0725010951970808,0.0850303970697277,0.118372328116077,0.0811437414614543
1,1,1,1,1,0.0679091294368889,0.0679091294368889,0.0827404994503266,0.094514962521113,0.0828329584794256
1,1,1,1,1,0.0672330111575798,0.0672330111575798,0.0824753507401924,0.141364546761452,0.0791199547439435
1,1,1,1,1,0.0593737727452236,0.0593737727452236,0.0718456349562757,0.107915022960829,0.0844970749353077
1,1,1,1,1,0.0657963441281978,0.0657963441281978,0.0786969516879216,0.104234542439439,0.0856751539596921
1,1,1,1,1,0.0701567263473176,0.0701567263473176,0.0850349020406171,0.14273035630475,0.0469523761141906
1,1,1,1,1,0.060752501104007,0.060752501104007,0.0721626300616304,0.126805443619779,0.0826498663458759
1,1,1,1,1,0.0687210983962402,0.0687210983962402,0.0837748703396409,0.0971119249071321,0.0843875947572849
1,1,1,1,1,0.0637596036637025,0.0637596036637025,0.0759959001929684,0.131051049976849,0.0795300527799875
1,1,1,1,1,0.0763297937192491,0.0763297937192491,0.0874704139344108,0.106702951823716,0.0796499419736365
1,1,1,1,1,0.0637958519352982,0.0637958519352982,0.0782137693537783,0.12384756117664,0.0814862987198675
